081ff9bb table/code pointer (aligned) | 帕奇利兹：兹！
09604430 table/code pointer (aligned) | 好像是死者的灵魂寄宿在古剑上\n转生而成。会附在人类身上吸食\n生命。
096044a6 table/code pointer (aligned) | 曾跟随着历代国王。用灵力控制\n人和宝可梦的心，使之服从。
096044db table/code pointer (aligned) | 从身体里飘出令闻者神魂颠倒的\n香气。香气会因所吃的食物而改\n变。
09604518 table/code pointer (aligned) | 制作出各种各样的气味。发出对\n手讨厌的气味，让战斗朝对自己\n有利的方向推进。
09604560 table/code pointer (aligned) | 放出像棉花糖那样又甜又稞的白\n丝缠住对手，封住其行动。
09604594 table/code pointer (aligned) | 拥有即便是细微气味也能区分的\n敏锐嗅觉，是西点师傅的好帮手\n。
096045cf table/code pointer (aligned) | 如果对手盯着它闪烁的发光体看\n，就会头晕眼花，斗志全无。
09604604 table/code pointer (aligned) | 会使用宝可梦中最强的催眠术。\n按自己的意愿操纵对手。
09604637 table/code pointer (aligned) | 只龟脚脚生活在一块岩石上。\n如果吵架了，就会有某只转移到\n其他岩石上去。
096046b8 table/code pointer (aligned) | 会模拟成腐烂海藻的形态。向没\n注意到而靠近的猎物泼洒毒液，\n了结对方。
096046fa table/code pointer (aligned) | 会不顾一切地向入侵领地者吐出\n能够腐蚀油轮船体的剧毒。
0960472f table/code pointer (aligned) | 像手枪一样把压缩过的水从大大\n的钳子里射出，击落飞着的猎物\n。
0960476a table/code pointer (aligned) | 拥有能发射水炮弹的巨大手臂，\n连油轮的船体也能击穿。
0960479c table/code pointer (aligned) | 在沙漠生活。只要能汔浴着阳光\n发电，即使不吃食物也安然无怼\n。
09604814 table/code pointer (aligned) | 从化石复活而来的宝可梦。如果\n有不喜欢的事情，就会大动肝火\n大闹一场。
09604856 table/code pointer (aligned) | 大颉能把厚实的铁板像纸那样咬\n碎，因此在古代的世界里以无敌\n自豪。
09604912 table/code pointer (aligned) | 从蝴蝶结那样的触角里释放出削\n弱敌意的波动，令猎物大意后袭\n击对方。
09604953 table/code pointer (aligned) | 体型虽小，却是个技术高手。与\n怪力和铁掌力士等大型宝可梦战\n斗起来都难分伯仲。
0960499d table/code pointer (aligned) | 胡子起着天线的作用。用它来收\n发电波，与远处的伙伴保持联络\n。
096049d7 table/code pointer (aligned) | 出生在高温高压的地下深处。从\n宝石的部分放出光束保护身体。\n
09604a10 table/code pointer (aligned) | 最弱小的龙属性宝可梦。皮肤干\n燥的话就会无法呼吸，因此一直\n静静地呆在背阴处哦。
09604a5c table/code pointer (aligned) | 食物和伙伴的区别模糊不清。即\n使关系很好，有时候也会淡定地\n将对方溶解吸食。
09604aa4 table/code pointer (aligned) | 和人非常亲近的宝可梦。不管它\n的话，就会很寂寞，流着稞糊糊\n的眼泪鸣叫。
09604ae7 table/code pointer (aligned) | 有着收集钥匙的习性。性格稳重\n，却会偷偷潜入民宅偷盗钥匙。\n
09604b1f table/code pointer (aligned) | 在森林中死去的孩子的魂魄寄生\n在树桩上。用悲鸣般的诡异声音\n鸣叫。
09604b5e table/code pointer (aligned) | 据说会把毁坏森林者吃掉的宝可\n梦。对生活在森林中的生物们非\n常温柔。
09604b9f table/code pointer (aligned) | 南瓜的身体里有无法往生的灵魂\n。黄昏到来便开始活动。
09604bd1 table/code pointer (aligned) | 在朔月的夜晚一边在街上游荡一\n边用诡异的声音唱歌。如果听到\n那歌声，就会被诅咒。
09604c1d table/code pointer (aligned) | 覆盖着身体的冰可以抵御敌人的\n攻击。即使被打破也能立即用冷\n气结起冰。
09604c60 table/code pointer (aligned) | 冻住的身体像钢铁一样坚硬。用\n巨大身躯压碎挡道的东西移动。\n
09604cd8 table/code pointer (aligned) | 飞行在连月光都没有的黑夜里，\n袭击那些疏忽大意的猎物。在黑\n暗的战斗中所向无敌。
09604d5d table/code pointer (aligned) | 展开翅膀和尾羽，闪着红色光芒\n时，就会吸取生物的生命，是传\n说的宝可梦。
09604dd3 table/code pointer (aligned) | 小碎钻的突变体。闪着粉红色光\n辉的身体被赞为全世界最美。
09604e56 table/code pointer (aligned) | 喷出水蒸气，用浓雾隐藏自己。\n据说住在人类不会进入的山里。\n
09604ec8 table/code pointer (aligned) | 很注重外表，只要有空就会整理\n翅膀。有时候也会因为过于在意\n羽毛的整洁而无法战斗。
09604f5a table/code pointer (aligned) | 通过理毛然后将积在腹中的落毛\n燃烧，喷出火焰。根据吐毛的方\n式不同，火焰也会变化。
09604fa7 table/code pointer (aligned) | 脖子上挂有火焰铃铕。喷出火焰\n的时候，会叮铃铃地发出很响的\n声音。
09604fe5 table/code pointer (aligned) | 性格粗鲁又任性。心情不爽的时\n候，连训练家的命令也会淡定地\n无视。
09605023 table/code pointer (aligned) | 因为勤奋的性格而有名。用鼻子\n将体液吹成气球，扔向敌人。
09605058 table/code pointer (aligned) | 擅长跳舞，能够边跳舞，边一个\n接一个地制作水做的气球扔向敌\n人。
09605094 other unaligned pointer + table/code pointer (aligned) | 用歌声操纵水做的气球。这个旋\n律会在伙伴间学习，被一代代地\n群体传承下去。
0960511d table/code pointer (aligned) | 把吃掉的树果的种子储藏在鸟嘴\n里。遇到敌人或猎物时，就一口\n气发射出去。
096051a0 table/code pointer (aligned) | 无论什么都能用锐利的牙齿咬住\n。原本并不住在阿罗拉，是从其\n他地区被带过来的。
096051ea table/code pointer (aligned) | 找到猎物的踪迹后，就会坚持蹲\n守在那个地方，但到了傍晚就会\n昏昏欲睡。
0960522c table/code pointer (aligned) | 用结实的颉部削树木，吸取树的\n汁液。平常就在地里生活。
096052a4 table/code pointer (aligned) | 来回盘旋寻找机会。用巨大的颉\n部收集电能向敌人发射。
096052d6 table/code pointer (aligned) | 用钳子保护自己的弱点，同时伺\n机出拳。输了的话会吐泡泡倒下\n。
09605310 table/code pointer (aligned) | 不管不顾地打架。遇到危机时刻\n，就会自断钳子，像发射火箭一\n样砸出去。
09605351 table/code pointer (aligned) | 拍打翅膀生火。一边踩着华丽的\n步伐，一边洒下猛烈的火焰。
09605386 table/code pointer (aligned) | 花蜜和花粉是它的食物。拥有感\n知气场的力量，能分辨出要开放\n的花。
096053c4 table/code pointer (aligned) | 把花粉做成圆形的团子。可以食\n用或战斗中使用，有许多的种类\n哦。
09605400 table/code pointer (aligned) | 非常容易亲近，因此是适合推荐\n给新手的宝可梦。可一旦成长脾\n气就会变粗暴。
09605446 table/code pointer (aligned) | 快速移动迷惑敌人。除了爪子和\n牙齿之外，鬃毛里的尖锐岩石也\n是武器之一。
0960548a table/code pointer (aligned) | 一旦陷入危机，眼睛就会变得湿\n润并发光。和汇聚在这光亮中的\n伙伴们一起对抗敌人。
09605550 table/code pointer (aligned) | 牢牢地粘在脚上的泥会提高抓地\n力，让它能够矫健的奔跑。
09605584 table/code pointer (aligned) | 从嘴里吐出的泥凝固后，即便是\n风雨也能经得住，所以常被涂在\n以前家里的外墙上。
096055ce table/code pointer (aligned) | 为了寻找食物而到地面上来。戴\n着水泡是为了呼吸，以及保护柔\n软的头部。
09605610 table/code pointer (aligned) | 用头部的水泡来进行撞头攻击。\n如果是弱小的宝可梦，就会被吸\n进水泡溺死。
09605697 table/code pointer (aligned) | 要保持鲜艳的身体颜色，得花很\n多功夫。但把这个当做兴趣的爱\n好者也是有的。
0960571e table/code pointer (aligned) | 深夜前往灯罩夜菇栖息的森林是\n很危险的。会被怪异的光线诱惑\n，再也回不来了。
09605766 table/code pointer (aligned) | 燃烧体液，释放毒瓦斯。等吸了\n毒气的敌人变得晕晕乎乎后就发\n动袭击。
096057dc table/code pointer (aligned) | 外表惹人喜爱，但如果被发怒后\n胡乱挥舞的腿脚碰到，即便是职\n业摔角手也会被击飞。
09605828 table/code pointer (aligned) | 拥有压倒性的肌肉力量，是非常\n危险的宝可梦。栖息地基本是禁\n止进入。
09605868 table/code pointer (aligned) | 闻起来很美味的香气从体内渗透\n出来。会被受气味诱惑的铪嘴大\n鸟整个吞下。
096058ad table/code pointer (aligned) | 为了保护身体，壳盖很发达。因\n为相当坚硬，即使被鸟宝可梦啄\n到，也完全安然无怼。
096058f7 table/code pointer (aligned) | 擅长运用自己的脚来踢。用脚踩\n住已被打倒的对手，大笑着炖耀\n自己的胜利。
0960593b table/code pointer (aligned) | 将花粘在充满营养的藤蔓上。花\n会活化，芳香也会飘散出来。
09605970 table/code pointer (aligned) | 因为非常聪明而被知晓。看不起\n没经验的训练家，是面向资深训\n练家的宝可梦。
096059f9 table/code pointer (aligned) | 因为胆小，慌慌张张地挥动着许\n多脚，拼命逃跑。逃跑的痕迹会\n闪闪发光很漂亮。
09605a40 table/code pointer (aligned) | 用锐利而巨大的爪子一挥而下。\n连空气和海水都能一分为二的本\n事。
09605a7d table/code pointer (aligned) | 倒毙路边者的怨念附在孩子们堆\n砌的沙丘上，诞生而成的。
09605ab1 table/code pointer (aligned) | 操纵人们，让沙丘进化为沙堡。\n诅咒的力量也得到了提升。
09605ae4 table/code pointer (aligned) | 栖息在沙滩等浅海地区。从身体\n里飞出体内器官，捕捉食物，或\n是与敌人战斗。
09605b29 table/code pointer (aligned) | 带着沉重的控制面罩，不能释放\n出原来的能力。蕴藏着特别的力\n量。
09605b65 table/code pointer (aligned) | 因为与同伴之间的信赖而觉醒。\n发挥自由变换属性的能力进行战\n斗。
09605ba2 table/code pointer (aligned) | 原本栖息在臭氧层，身体的外壳\n变重后，就会向着地面落下。
09605bd7 table/code pointer (aligned) | 睡着生，睡着死。似乎所有的行\n动都是根据所看见的梦而引发的\n睡相。
09605c15 table/code pointer (aligned) | 背上的甲壳是爆炸物。不小心打\n到的话会发生大爆炸。肚子上的\n小洞是弱点。
09605c59 table/code pointer (aligned) | 背上的针毛平时是倒伏的。一旦\n兴奋就会倒立起来，刺向前来袭\n击的敌人。
09605c9b table/code pointer (aligned) | 正身不明。某位学者看过破布里\n面后，因为太过恐惧而被惊吓致\n死。
09605cd7 table/code pointer (aligned) | 从头部的突起物放出精神力量的\n时候，周围会响起非常刺耳的磨\n牙声。
09605d16 table/code pointer (aligned) | 心地非常善良。可一旦被激怒，\n就会用非常猛烈的气息把周围破\n坏殆尽。
09605d56 table/code pointer (aligned) | 咧咧地来回摆动巨大的船锚，连\n吼鲸王也能一击击倒。绿色的海\n藻是它的本体。
09605d9c table/code pointer (aligned) | 敲击鳞片，传递自己的心情。在\n心鳞宝栖息的高山上，回荡着金\n属的声音。
09605ddd table/code pointer (aligned) | 伴随着战吼猛扑猎物。用布满鳞\n片的拳头将对手撕成碎片。
09605e11 table/code pointer (aligned) | 坚硬的鳞片集攻防于一体。过去\n曾被加工成武器和日用品来使用\n。
09605e4c table/code pointer (aligned) | 好奇心旺盛的，美乐美乐的守护\n神。会呼唤雷雨云在体内储存雷\n。
09605e86 table/code pointer (aligned) | 天真无邪，残酷的阿卡拉的守护\n神。鲜花的芳香气息是它能量的\n来源。
09605ec4 table/code pointer (aligned) | 拔出巨大的树木，轰轰地来回挥\n舞。让草木茂盛，吸收其中的能\n量。
09605eff table/code pointer (aligned) | 拥有利用浓雾迷惑敌人，让其自\n我毁灭那种程度的可怕。海流是\n其能量的来源。
09605f45 table/code pointer (aligned) | 容易消逝的气体状身体。一边收\n集大气的尘埃，一边慢慢地成长\n着。
09605f81 table/code pointer (aligned) | 就像死了一般几乎不动，但触碰\n后有些许温暖。在遥远的过去被\n称为星之茧。
09605fc5 table/code pointer (aligned) | 据说是栖息在其他世界的。全身\n放出猛烈的光芒，即使是暗夜也\n会照得如同白昼。
09606049 table/code pointer (aligned) | 被谜团包围的究极异兽的一种。\n有人目击了街上的人们被寄生后\n暴走起来的样子。
09606092 table/code pointer (aligned) | 从其他世界出现的究极异兽。会\n向人展现自己的身体，但不知道\n是出于自豪还是威吓。
096060de table/code pointer (aligned) | 危险究极异兽中的一种。被人目\n击到以骇人的速度在大地狂奔的\n样子。
0960611d table/code pointer (aligned) | 被目击到了从全身喷涌出骇人电\n击的光景。谜一般的生物究极异\n兽的一种。
09606160 table/code pointer (aligned) | 从究极之洞出现的究极异兽。被\n人目击到以高速在空中飞行的样\n子。
0960619d table/code pointer (aligned) | 从究极之洞出现的究极异兽。本\n身并不打算恐吓敌人，但是锐利\n的全身就是凶器。
096061e5 table/code pointer (aligned) | 有人报告过它啃噬山体，以及吞\n掉大楼的模样。是究极异兽的一\n种。
09606221 table/code pointer (aligned) | 好像一直都沉睡在地下。被认为\n是太古时代从其他世界来到此地\n的类似究极异兽的生物。
096062a8 table/code pointer (aligned) | 可以潜入影子中，因为不会在人\n的面前展露身姿，所以其存在曾\n是个幻想。
096062ea table/code pointer (aligned) | 栖息在异世界的究极异兽，会从头\n部的毒针朝对手喷出毒液，咯咯咯\n大笑。
0960632c table/code pointer (aligned) | 究极异兽中的一种。会从毒针发射\n出稞性很大又发光的毒液。
09606362 table/code pointer (aligned) | 像是究极异兽的谜一般的生命体。突\n然动起来并展开袭击的石墙，正身就\n是这家伙。
096063ac table/code pointer (aligned) | 从究极之洞里出现的究极异兽。用爆\n炸吓唬对手，趁那空当夺走对方的生\n命气息。
096063f4 table/code pointer (aligned) | 让双手双脚的爪子带电，将对手撕得\n稀碎。即使被躲开，也会用飞散的电\n击让其触电。
0960643f table/code pointer (aligned) | 身体是融化成液状的钢铁。\n它能够将土壤中的铁或其它\n金属溶解后吸收进体内。
096064cc table/code pointer (aligned) | 当它用特别的木棒敲奏时，\n能够给予花草活力的力量\n就会变成音波扩散开来。
09606511 table/code pointer (aligned) | 越是能用根木棒敲奏出\n激烈节拍的啪咂猴，\n越是能获得伙伴们的尊敬。
09606550 table/code pointer (aligned) | 能够通过打鼓来控制特别的\n树桩中的力量，\n操纵树根进行战斗。
09606589 table/code pointer (aligned) | 一旦做好了战斗的准备，\n它鼻头上和脚底的肉球\n就会发出极度的高温。
096065c8 table/code pointer (aligned) | 会用脚把树果从树木上踢落，\n用来练习颠球，\n借此锻炼自己的脚法。
09606604 table/code pointer (aligned) | 会将石头像足球般用脚挑起，\n制造出缠绕着火焰的足球。\n会用猛烈的踢射来燃烧对手。
09606650 table/code pointer (aligned) | 皮肤在湿掉时会变色，\n仿佛像是隐身了一样，\n谁都看不见它的身影。
0960668c table/code pointer (aligned) | 很有战略头脑，\n会把手掌分泌出的\n水分做成水弹攻击敌人。
096066c1 table/code pointer (aligned) | 身上隐藏着多种特殊能力，\n例如从手指喷射水流，\n以及用背部的翼膜滑翔等等。
09606707 table/code pointer (aligned) | 由于它无论何时都在吃树果，\n让它比外表看起来还要顽强。\n会出现在田地里寻找树果。
09606753 table/code pointer (aligned) | 在尾巴里囤积树果。\n虽然囤过头了就会掉出来，\n但是迟钝的它不会发现。
09606793 table/code pointer (aligned) | 娇小的体型让它敏捷地飞翔。\n利用攻其不备的战法将体型\n巨大的对手玩弄于股掌之间。
096067e0 table/code pointer (aligned) | 经历无数次艰难的战斗后，\n它学会了该如何正确地\n判断敌人的力量。
0960681d table/code pointer (aligned) | 在空中所向披靡。\n它那黑得发亮的钢铁之躯\n有着让敌人畏惧的威慑力。
0960685c table/code pointer (aligned) | 经常出现在田地里的宝可梦。\n会通过长在身体上的\n毛来感应周围发生的事。
0960689f table/code pointer (aligned) | 正在壳里成长着。\n用精神力量掌握外界的状况，\n做好进化的准备。
096068d9 table/code pointer (aligned) | 以头脑聪慧而闻名。\n大大的脑子是它拥有\n出众精神力量的证明。
09606912 table/code pointer (aligned) | 性格谨慎且狡猾。\n在偷盗食物逃走的时候\n会用尾巴擦掉自己的足迹。
0960694f table/code pointer (aligned) | 会偷偷在看中的猎物身上\n留下标记，追踪目标的气味，\n在对方放松警戒时偷盗。
09606995 table/code pointer (aligned) | 当它把单脚扎进地面里，\n并且汔浴充分的阳光，\n花瓣就会染上鲜艳的颜色。
096069d7 table/code pointer (aligned) | 棉絮的种子营养丰富。它会\n通过风散播种子，让草木\n和宝可梦变得活力十足。
09606a1b table/code pointer (aligned) | 卷卷的体毛弹性十足。\n就算从悬崖上掉下去，\n也不会受伤。
09606a4f table/code pointer (aligned) | 长得长长的角是为了\n向异性求爱而存在的。\n它从不会把角当做武器。
09606a8c table/code pointer (aligned) | 有着不管看到什么都会咬\n上去的习性。这似乎是因为\n长门牙的时候会痒的缘故。
09606ad3 table/code pointer (aligned) | 性格凶暴的宝可梦。\n会用能咬断铁棍的\n颉部大口咬住猎物。
09606b08 table/code pointer (aligned) | 因为想要得到零食而帮助\n人类工作的贪吃鬼。\n总是带着电火花跑来跑去。
09606b89 table/code pointer (aligned) | 在满是岩石的崎幡之路上\n也能像独轮车那样自在移动。\n靠燃烧煤炭维持生命。
09606c0e table/code pointer (aligned) | 进入战斗状态后，\n它会把煤炭山燃烧得通红，\n飞撒火花来烧焦四周。
09606c4a table/code pointer (aligned) | 一出生就躲进了苹果中。\n一边吃果肉一边成长。\n进化方向因苹果的味道而定。
09606c8e table/code pointer (aligned) | 会用苹果皮的翅膀飞翔，\n并吐出强酸性的唾液。\n可以变成苹果的形状。
09606ccc table/code pointer (aligned) | 身体被甜甜的蜜汁包裹，\n背部的皮尤其甘甜，\n过去曾经是小孩的零食。
09606d0a table/code pointer (aligned) | 会从鼻孔喷射出沙子，\n趁敌人看不清的\n时候躲进地底下藏身。
09606d83 table/code pointer (aligned) | 虽然拥有一击定胜负的威力，\n由于记性实在太差，对战\n还没结束就会忘记对手是谁。
09606dcd table/code pointer (aligned) | 尖锐的下巴是它的骄傲。\n只要发现周围有什么小动作，\n就会一直线冲过去。
09606e0f table/code pointer (aligned) | 像长矛一样尖锐的下巴\n拥有钢铁般的硬度。\n据说它的肉好吃得惊人。
09606e4c table/code pointer (aligned) | 通过让自身的毒素产生\n化学反应来发电。\n电力虽然弱，却能造成麻痹。
09606e8a table/code pointer (aligned) | 通过分解摄入体内的毒素来\n生成电力，发出与电吉他\n弹奏的旋律十分相似的声音。
09606ed3 table/code pointer (aligned) | 靠储存在体内的可燃气体\n来发热。热度最高的是\n腹部的黄色部分。
09606f0e table/code pointer (aligned) | 性格极具攻击性。\n危险的不只是它烧烫的身体，\n大大的猸牙也锐利无比。
09606f4e table/code pointer (aligned) | 智商大致相当于岁的儿童。\n虽然触手经常断掉，但因为\n能再生，所以它并不在意。
09606f95 table/code pointer (aligned) | 全身都是肌肉。\n会用触手施展绞技，\n威力无与伦比。
09606fc3 table/code pointer (aligned) | 真货会吸走饮用者的精气。\n但市面上还是会有很多厝品。
09606ff5 table/code pointer (aligned) | 住在古董茶壶里。\n虽然大多数都是厝品，\n但偶尔也能发现真货。
0960702d table/code pointer (aligned) | 通过头部的突起物来\n感应生物的情感。\n只对温和的人敞开心熹。
09607066 table/code pointer (aligned) | 遇到情绪激昂的对手时，\n无论对方是谁，\n都会用粗暴的方式使其沉默。
096070a4 table/code pointer (aligned) | 由于会朝四周释放足以\n引起头痛的精神力量，\n其他生物都躲得远远的。
096070e3 table/code pointer (aligned) | 不但会溜进民宅偷盗，还会\n吸收人们悔恨时的负面能量。
09607115 table/code pointer (aligned) | 会先装成要下跪道歉的样子，\n然后用后脑勺尖\n如长矛的头发刺向对手。
09607154 table/code pointer (aligned) | 毛发能发挥肌肉纤维般的\n作用。伸展开来时会像\n触手那样把对手缠绕起来。
096071d6 table/code pointer (aligned) | 有着十分好战的性格。\n头上像铁头盔一样的东西\n其实是它硬化后的体毛。
09607217 table/code pointer (aligned) | 灵力增强之后从壳里被\n解放出来。用灵体保护着\n内核中的灵魂。
09607250 table/code pointer (aligned) | 会用坚硬的葱叶抵挡攻击，\n接着用锋利的茎反击。\n它的葱既是武器也是食材。
09607294 table/code pointer (aligned) | 踢踏舞的达人。\n会挥动手中的冰杖，\n向观众表演轻快的舞步。
096072ca table/code pointer (aligned) | 被注入了强烈诅咒的\n古代绘画在吸进哭哭面具的\n灵魂后就开始动起来了。
0960730c table/code pointer (aligned) | 据说有小仙奶现身过的\n蛋糕店保证能生意兴隆。
09607337 table/code pointer (aligned) | 它会把自己用鲜奶油\n装饰过的树果送给\n自己信任的训练家。
0960736d table/code pointer (aligned) | 列阵兵由个头头和\n个跟班组成。\n头头的命令不可违抗。
0960739e table/code pointer (aligned) | 能从刺的尖端放电。\n会用锐利的牙齿刮取\n附在岩石上的海藻吃。
096073d7 table/code pointer (aligned) | 会吃地面上的积雪。\n吃得越多，\n背上的刺就会长得越挺拔。
0960740b table/code pointer (aligned) | 绝不放过破坏山野环境的人。\n会用冰冷的翅膀四处飞翔，\n制造出暴风雪来惩罚他们。
09607455 table/code pointer (aligned) | 佤立在大草原里，\n每天眺望着日升日落。\n擅长强而有力的踢技。
0960748d table/code pointer (aligned) | 从非常寒冷的地方漂流而来。\n它那一脸惬忮的表情让\n许多人为之着迷。
096074cc table/code pointer (aligned) | 雄性就像管家一样，\n在主人的身边打理一切。\n雌性十分擅长带孩子。
09607508 table/code pointer (aligned) | 总是饿着肚子。\n会吃掉装在像口袋一样的\n袋子里的种子来发电。
096075b0 table/code pointer (aligned) | 会用尾部结实的肌肉发电。\n与下半身相比，\n上半身真的太小了。
096075e8 table/code pointer (aligned) | 它冻成冰的上半身在\n颤抖后可以产生电能。\n非常不擅长走路。
0960765a table/code pointer (aligned) | 面部的皮肤无论受到什么\n攻击都不会受伤，但由于\n呼吸起来不方便而灭绝了。
0960769f table/code pointer (aligned) | 身体犹如打磨过的金属，\n虽然轻而坚硬，\n却有着容易生锈的弱点。
096076d9 table/code pointer (aligned) | 曾经栖息在古代的大海。\n在重生为幽灵宝可梦后，\n会在昔日的住处徘徊。
09607762 table/code pointer (aligned) | 它角里的多龙梅西亚似乎\n满心期待着能被以\n音速发射出去。
09607798 table/code pointer (aligned) | 被称为妖精王之剑，让敌友\n都对其敬畏不已。能以一剑\n将超极巨化宝可梦拿下。
096077e0 table/code pointer (aligned) | 被称为格斗王之盾，受到人\n们的畏惧与尊崇。能轻易抵\n挡超极巨化宝可梦的攻击。
09607828 table/code pointer (aligned) | 会用胸部的核心吸收\n佚勒尔地区涌出的能量，\n借以保持自己的活力。
09607865 table/code pointer (aligned) | 拉紧头上又白又长的体毛\n就变得斗气势高昂，\n并从丹田涌出力量。
0960790e table/code pointer (aligned) | 长在身上的藤蔓断掉之后\n会变成土壤的养分，\n帮助森林中的植物成长。
09607950 table/code pointer (aligned) | 由电能聚集而成。\n据说解开身上的圆环后\n会释放出隐藏的力量。
0960798a table/code pointer (aligned) | 整个身体是龙之能量的结晶。\n据说它拥有所有龙宝可梦的能力。
09607a38 table/code pointer (aligned) | 黑暗的夜晚中奔驰，\n吸取睡觉中的生命的能量。\n喜欢孤独和静寂。
09607a72 table/code pointer (aligned) | 曾经在很久的很久以前\n统治着佚勒尔的传说之王。\n拥有治愈心灵和让草木发芽的能力。
09609091 table/code pointer (aligned) | 腿能自由地伸缩，\n即使离得很远，\n也能把对手踢飞。
0960ab18 other unaligned pointer | 一整天都在搬运食物。\n据说曾有遇险的人因为\n信使鸟的食物而得救。
0960abcc table/code pointer (aligned) | 擅长与伙伴的合作。\n如果成为同伴，就会\n非常听从训练家的命令。
0960c819 other unaligned pointer | 样子会根据天气发生变化。\n天气越恶劣，\n性格也会变得越暴躁。
0960d07a other unaligned pointer | 马赫的飞行速度来觅食。\n它巨大的爪子是非常\n令人惧怕的武器。
0960d7ca table/code pointer (aligned) | 制造障壁时，黑珠会发\n出妖异的光辉。身上脱落的\n胡须是制作温暖冬衣的原料。
0960d810 table/code pointer (aligned) | 用坚硬的岩石守护自身，\n以粗衢的斧头砍倒大树。\n性情暴躁易怒。
0960d84a table/code pointer (aligned) | 正是遍布在洗翠大地上\n的湿地土壤，造就了它坚实的躯\n体和自在运用泥炭的能力。
0960d893 table/code pointer (aligned) | 在溯河而上的旅程中半途\n丧命的伙伴的灵魂缠绕其身。\n在洗翠的河川里所向无敌。
0960d8dc table/code pointer (aligned) | 拥有凌驾其他物种之上\n的身体能力以及剧毒。\n在寒冷的高地上所向无敌。
0960d91d table/code pointer (aligned) | 身上如同枪尖般的针以及\n凶暴的性情使这种宝可梦\n得到了海鬼的外号。
0960d95d table/code pointer (aligned) | 当它越海飞来，便代表\n严冬即将终结。传说中其慈爱\n将使新生命在大地上萌芽。
09808a51 other unaligned pointer | 崇宠抽酬曹 
0981e3ce table/code pointer (aligned) | 换装皮卡丘
0981e3d9 table/code pointer (aligned) | 假面皮卡丘
0981e3e4 table/code pointer (aligned) | 博士皮卡丘
0981e3ef table/code pointer (aligned) | 摇滚皮卡丘
0981e3fa table/code pointer (aligned) | 贵妇皮卡丘
0981e405 table/code pointer (aligned) | 幽尾玄鱼
0982c060 table/code pointer (aligned) | 初代皮卡丘 
0982c070 table/code pointer (aligned) | 丰缘皮卡丘 
0982c080 table/code pointer (aligned) | 神奥皮卡丘 
0982c090 table/code pointer (aligned) | 合众皮卡丘 
0982c0a0 table/code pointer (aligned) | 卡洛斯皮卡丘 
0982c0b0 table/code pointer (aligned) | 阿罗拉皮卡丘 
0982c0c2 table/code pointer (aligned) | 周年皮卡丘 
0982e960 other unaligned pointer | 获得换装皮卡丘了！
0983149f table/code pointer (aligned) | 野\n岢框祷 雪峰市宝可梦道馆\n馆主小莺\l有如钻石星辰的女孩
0983161a table/code pointer (aligned) |  [34]倬框祷 前面就是冠军之路
09832410 table/code pointer (aligned) | 野[3a]续孪祷 
098365d8 table/code pointer (aligned) | 起始海滩
098365e1 table/code pointer (aligned) | 角鹿高岗
098365ea table/code pointer (aligned) | 吹火岛屿
098365f3 table/code pointer (aligned) | 观雪温泉
098365fc table/code pointer (aligned) | 天冠山麓
0983a708 other unaligned pointer | 得到毒贝比。
0985dad1 table/code pointer (aligned) | 哎开始试炼
09872100 other unaligned pointer |   哦豁来了个不得了的挑战者啊
09873fb5 other unaligned pointer + table/code pointer (aligned) | 曹鸟宝可梦们似乎正在发生冲突。\n你愿意帮助{fd02}，\l并介入这场剑拔孱张的斗牛吗？
09874001 other unaligned pointer | 会暂时加入你的队伍，\n但是你无法使用你自己的宝可梦，\l这样也没问题吗？
09875082 other unaligned pointer | 曹徽章检查员：欢迎来到神奥联盟！
0987f6d3 other unaligned pointer | 这些神奥传说都是珍贵的研究材料，\n我要把它们全都借阅走！
098824b2 table/code pointer (aligned) | 高等位面联盟
09885301 table/code pointer (aligned) |   你好强啊，\n这么受的我果然不是你的对手。
09885986 other unaligned pointer | 绿曹敢动一动我就射击了！\n不对，敢射击就要动了！
09887402 other unaligned pointer |   我的剑[b0][b0]也断了
09887776 other unaligned pointer | 氯曹我好怕我们走丢啊[b0][b0]
09888900 other unaligned pointer + table/code pointer (aligned) | \n因为山洞里没有阳光啊
09889002 other unaligned pointer + table/code pointer (aligned) | \n让我康康你的宝可梦是不是很勇
0988a005 other unaligned pointer | 穆\l解除不死药
0988f283 other unaligned pointer | 一些宝可梦会生活在树上，\n用头锤可以吸引它们的注意。
0988f354 other unaligned pointer | 冰伊布：哔哞！
0989012d other unaligned pointer | 怒牛\n 滦怒怒脓\n我是风泷，帮我问一下猫猫\n要不要和我的红坑卡组过两招。
09892851 trainer battle text | 哎你就给我永远留在这里吧！{fc01} 
09893903 trainer battle text | 哎你就给我永远留在这里吧！{fc01} 
0989490f other unaligned pointer | \n古有二尊并存，\p其一看时光流转，\n其一看地阔天宽。\p为求未来之后的未来，\n欲探天地尽头的天地。\p二尊各行其道，与神奥大尊相随常伴。
09895025 other unaligned pointer | 曹明耀：[b0][b0]刚石和珠贝都指向了\n天冠山麓这个地方啊。\l我们去那边找找线索吗？
09897863 other unaligned pointer + table/code pointer (aligned) | 玲框工曹银杏商会成员：唉[b0][b0]望罗不在，\n洗翠大地又发生这样的灾难，\l我们的货源几乎都要中断了[b0][b0]\p这位朋友，来看看要点啥吧。
09897ff7 trainer battle text | 哎你就给我永远留在这里吧！{fc01} 
